Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,30.0312,06-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6932,05-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6068,04-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.1525,30-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.1521,29-04-2015
SBI Small Cap Fund - Direct Plan - Growth,29.7529,28-04-2015
SBI Small Cap Fund - Direct Plan - Growth,29.674,27-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2416,24-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.9662,23-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0468,22-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0267,21-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0796,20-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.798,17-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.9168,16-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.8726,15-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.7364,13-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.3292,10-04-2015
SBI Small Cap Fund - Direct Plan - Growth,31.2433,09-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8106,08-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2953,07-04-2015
SBI Small Cap Fund - Direct Plan - Growth,30.1584,06-04-2015
SBI Small Cap Fund - Direct Plan - Growth,29.7949,01-04-2015
SBI Small Cap Fund - Direct Plan - Growth,29.3347,31-03-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2627,30-03-2015
SBI Small Cap Fund - Direct Plan - Growth,28.5473,27-03-2015
SBI Small Cap Fund - Direct Plan - Growth,28.4267,26-03-2015
SBI Small Cap Fund - Direct Plan - Growth,28.8366,25-03-2015
SBI Small Cap Fund - Direct Plan - Growth,28.8295,24-03-2015
SBI Small Cap Fund - Direct Plan - Growth,28.911,23-03-2015
SBI Small Cap Fund - Direct Plan - Growth,29.392,20-03-2015
SBI Small Cap Fund - Direct Plan - Growth,29.8192,19-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.0143,18-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.0579,17-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.179,16-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2599,13-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.686,12-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.4375,11-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.3725,10-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.4317,09-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6428,05-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6349,04-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8045,03-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5216,02-03-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2262,27-02-2015
SBI Small Cap Fund - Direct Plan - Growth,29.9507,26-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.1089,25-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2175,24-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.3222,23-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6869,20-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6178,19-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6868,18-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5344,16-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2844,13-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2611,12-02-2015
SBI Small Cap Fund - Direct Plan - Growth,29.9083,11-02-2015
SBI Small Cap Fund - Direct Plan - Growth,29.5782,10-02-2015
SBI Small Cap Fund - Direct Plan - Growth,29.397,09-02-2015
SBI Small Cap Fund - Direct Plan - Growth,29.7377,06-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.2614,05-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6731,04-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.7745,03-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6145,02-02-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5936,30-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.7497,29-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.7898,28-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5724,27-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.4927,23-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.7123,22-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.714,21-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8184,20-01-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5172,19-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.7293,16-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.6991,15-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.5028,14-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.4388,13-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.4713,12-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2834,09-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2325,08-01-2015
SBI Small Cap Fund - Direct Plan - Growth,28.7345,07-01-2015
SBI Small Cap Fund - Direct Plan - Growth,28.566,06-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.3031,05-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.4253,02-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.3671,01-01-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2084,31-12-2014
SBI Small Cap Fund - Direct Plan - Growth,28.5876,30-12-2014
SBI Small Cap Fund - Direct Plan - Growth,28.1163,29-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.5386,26-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.4695,24-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.4262,23-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.439,22-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.1556,19-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.0853,18-12-2014
SBI Small Cap Fund - Direct Plan - Growth,26.2936,17-12-2014
SBI Small Cap Fund - Direct Plan - Growth,26.791,16-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.3527,15-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.4434,12-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.739,11-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.2901,10-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.0266,09-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.5153,08-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.3359,05-12-2014
SBI Small Cap Fund - Direct Plan - Growth,27.342,04-12-2014
